time,neuron,synapse,da,fru,res,brain_state,w_mean,w_max,spikes,energy,5ht,ach
500.0,15,30,0.595898815521293,0.0,0.2,AWAKE,0.0472401253970022,0.09296976523425732,0,1.0,0.5125,0.65
1000.0,15,30,0.6895592716894647,0.0,0.2,AWAKE,0.0472401253970022,0.09296976523425732,0,1.0,0.52421875,0.7250000000000001
1500.0,15,30,0.7626680751208076,0.0,0.2,AWAKE,0.0472401253970022,0.09296976523425732,0,1.0,0.535205078125,0.7625000000000001
2000.0,15,30,0.8139280222230186,0.0,0.2,AWAKE,0.0472401253970022,0.09296976523425732,0,1.0,0.5455047607421875,0.78125
2500.0,15,30,0.8268745202202056,0.0,0.2,AWAKE,0.0472401253970022,0.09296976523425732,0,1.0,0.5551607131958007,0.790625
3000.0,15,30,0.7568033910080395,0.0,0.2,AWAKE,0.0472401253970022,0.09296976523425732,0,1.0,0.5642131686210632,0.7953125
3500.0,15,30,0.7923452465720827,0.0,0.2,AWAKE,0.0472401253970022,0.09296976523425732,0,1.0,0.5726998455822467,0.79765625
4000.0,15,30,0.8374918055140598,0.0,0.2,AWAKE,0.055796172108566286,0.6074050232046259,275,0.9633333333333332,0.5806561052333563,0.798828125
4500.0,15,30,0.8595621789819613,0.0,0.2,AWAKE,0.15252998660384273,1.0,613,0.9266666666666666,0.5881150986562715,0.7994140625
5000.0,15,30,0.8474761365598183,0.0,0.2,AWAKE,0.1648263350526882,1.0,838,0.8899999999999999,0.5951079049902546,0.7997070312500001
5500.0,15,30,0.789423587610978,0.0,0.2,AWAKE,0.16643200535310723,1.0,839,0.8973333333333332,0.6016636609283637,0.7998535156250001
6000.0,15,30,0.7401375266939915,0.0,0.2,AWAKE,0.16643200535310723,1.0,839,0.9046666666666664,0.6078096821203409,0.7999267578125
6500.0,15,30,0.7831367947521586,0.0,0.2,AWAKE,0.16643200535310723,1.0,839,0.9119999999999997,0.6135715769878196,0.79996337890625
7000.0,15,30,0.8310883009632912,0.0,0.2,AWAKE,0.16643200535310723,1.0,839,0.9193333333333334,0.6189733534260808,0.7999816894531251
7500.0,15,30,0.8686976171617902,0.0,0.2,AWAKE,0.16643200535310723,1.0,839,0.9266666666666666,0.6240375188369508,0.7999908447265626
8000.0,15,30,0.8916237494775145,0.0,0.2,AWAKE,0.16643200535310723,1.0,839,0.9339999999999999,0.6287851739096414,0.7999954223632812
8500.0,15,30,0.8740380318123455,0.0,0.2,AWAKE,0.16643200535310723,1.0,839,0.9413333333333332,0.6332361005402888,0.7999977111816406
9000.0,15,30,0.8145881082881257,0.0,0.2,AWAKE,0.16643200535310723,1.0,839,0.9486666666666665,0.6374088442565208,0.7999988555908204
9500.0,15,30,0.8417830293018245,0.0,0.2,AWAKE,0.16643200535310723,1.0,839,0.9559999999999998,0.6413207914904883,0.7999994277954102
10000.0,15,30,0.8754938699423369,0.0,0.2,AWAKE,0.163141342311924,1.0,1143,0.9193333333333334,0.6449882420223327,0.7999997138977051
10500.0,15,30,0.8863285480234037,0.0,0.2,AWAKE,0.16629421454092383,1.0,1481,0.8826666666666666,0.6484264768959369,0.7999998569488526
11000.0,15,30,0.8605958719865584,0.0,0.2,AWAKE,0.12687826225546736,1.0,1662,0.8459999999999998,0.6516498220899408,0.7999999284744264
11500.0,15,30,0.7977458198014752,0.0,0.2,AWAKE,0.12687826225546736,1.0,1662,0.8533333333333334,0.6546717082093195,0.7999999642372132
12000.0,15,30,0.7677512588118455,0.0,0.2,AWAKE,0.12687826225546736,1.0,1662,0.8606666666666667,0.657504726446237,0.7999999821186066
12500.0,15,30,0.8090460756308332,0.0,0.2,AWAKE,0.12687826225546736,1.0,1662,0.868,0.6601606810433472,0.7999999910593033
13000.0,15,30,0.8512907615110583,0.0,0.2,AWAKE,0.12687826225546736,1.0,1662,0.8753333333333333,0.662650638478138,0.7999999955296517
13500.0,15,30,0.8835652241650274,0.0,0.2,AWAKE,0.12687826225546736,1.0,1662,0.8826666666666666,0.6649849735732544,0.7999999977648259
14000.0,15,30,0.7126739181237705,0.0,0.2,SLOW_WAVE_SLEEP,0.12687826225546736,1.0,1662,0.8899999999999999,0.648423412724926,0.499999998882413
14500.0,15,30,0.5845054385928279,0.0,0.2,SLOW_WAVE_SLEEP,0.12687826225546736,1.0,1662,0.8973333333333332,0.6328969494296182,0.3499999994412065
15000.0,15,30,0.4883790789446209,0.0,0.2,SLOW_WAVE_SLEEP,0.12687826225546736,1.0,1662,0.9046666666666664,0.618340890090267,0.2749999997206033
15500.0,15,30,0.4162843092084657,0.16000000000000003,0.2,SLOW_WAVE_SLEEP,0.12687826225546736,1.0,1662,0.9119999999999997,0.6046945844596253,0.23749999986030165
16000.0,15,30,0.3622132319063493,0.16000000000000003,0.2,SLOW_WAVE_SLEEP,0.12687826225546736,1.0,1662,0.9193333333333334,0.5919011729308987,0.21874999993015082
16500.0,15,30,0.32165992392976195,0.16000000000000003,0.2,SLOW_WAVE_SLEEP,0.12687826225546736,1.0,1662,0.9266666666666666,0.5799073496227175,0.20937499996507541
17000.0,15,30,0.29124494294732145,0.16000000000000003,0.2,SLOW_WAVE_SLEEP,0.12687826225546736,1.0,1662,0.9339999999999999,0.5686631402712976,0.2046874999825377
17500.0,15,30,0.2684337072104911,0.16000000000000003,0.2,SLOW_WAVE_SLEEP,0.12687826225546736,1.0,1662,0.9413333333333332,0.5581216940043415,0.20234374999126886
18000.0,15,30,0.3513252804078683,0.16000000000000003,0.2,REM,0.12687826225546736,1.0,1662,0.9486666666666665,0.5294890881290701,0.4511718749956344
18500.0,15,30,0.41349396030590124,0.16000000000000003,0.2,REM,0.12687826225546736,1.0,1662,0.9559999999999998,0.5026460201210032,0.5755859374978172
