time,neuron_id,capa
2504.4,1,sensorial
2519.6,1,sensorial
2534.8,1,sensorial
2550.0,1,sensorial
2565.2,1,sensorial
2580.4,1,sensorial
2595.6,1,sensorial
2610.8,1,sensorial
2626.0000000000005,1,sensorial
2641.2,1,sensorial
2656.4,1,sensorial
2671.6000000000004,1,sensorial
2686.8,1,sensorial
2702.0,1,sensorial
2717.2,1,sensorial
2732.4,1,sensorial
2747.6000000000004,1,sensorial
2762.7999999999997,1,sensorial
2778.0,1,sensorial
2793.2000000000003,1,sensorial
2808.4,1,sensorial
2823.6000000000004,1,sensorial
2838.7999999999997,1,sensorial
2854.0,1,sensorial
2869.2000000000003,1,sensorial
2884.4,1,sensorial
2899.6,1,sensorial
2914.8,1,sensorial
2930.0,1,sensorial
2945.2000000000003,1,sensorial
2960.3999999999996,1,sensorial
2975.6,1,sensorial
2990.8,1,sensorial
3002.9,1,sensorial
3011.4,1,sensorial
3019.9,1,sensorial
3028.4,1,sensorial
3036.9,1,sensorial
3045.4,1,sensorial
3053.9,1,sensorial
3062.4,1,sensorial
3070.9,1,sensorial
3079.4,1,sensorial
3087.9,1,sensorial
3096.4,1,sensorial
3104.9,1,sensorial
3113.4,1,sensorial
3121.9,1,sensorial
3130.4,1,sensorial
3138.9,1,sensorial
3147.4,1,sensorial
3155.9,1,sensorial
3164.4,1,sensorial
3172.9,1,sensorial
3181.4,1,sensorial
3189.9,1,sensorial
3198.4,1,sensorial
3206.9,1,sensorial
3215.4,1,sensorial
3223.9,1,sensorial
3232.4,1,sensorial
3240.9,1,sensorial
3249.4,1,sensorial
3257.9,1,sensorial
3266.4,1,sensorial
3274.9,1,sensorial
3283.4,1,sensorial
3291.9,1,sensorial
3300.4,1,sensorial
3308.9,1,sensorial
3317.4,1,sensorial
3325.9,1,sensorial
3334.4,1,sensorial
3342.9,1,sensorial
3351.4,1,sensorial
3359.9,1,sensorial
3368.4,1,sensorial
3376.9,1,sensorial
3385.4,1,sensorial
3393.9,1,sensorial
3402.4,1,sensorial
3410.9,1,sensorial
3419.4,1,sensorial
3427.9,1,sensorial
3436.4,1,sensorial
3444.9,1,sensorial
3453.4,1,sensorial
3461.9,1,sensorial
3470.4,1,sensorial
3478.9,1,sensorial
3487.4,1,sensorial
3495.9,1,sensorial
3506.0,5,oculta
3506.2999999999997,0,sensorial
3506.2999999999997,2,sensorial
3506.2999999999997,3,sensorial
3506.2999999999997,4,sensorial
3506.2999999999997,6,oculta
3506.2999999999997,7,oculta
3506.2999999999997,12,pfc
3506.2999999999997,13,pfc
3506.2999999999997,14,pfc
3512.6000000000004,1,sensorial
3525.8,5,oculta
3526.6,6,oculta
3526.6,7,oculta
3526.7000000000003,0,sensorial
3526.7000000000003,2,sensorial
3526.7000000000003,3,sensorial
3526.7000000000003,4,sensorial
3526.7000000000003,12,pfc
3526.7000000000003,13,pfc
3526.7000000000003,14,pfc
3533.0000000000005,1,sensorial
3545.5,5,oculta
3546.9,6,oculta
3546.9,7,oculta
3547.1000000000004,0,sensorial
3547.1000000000004,2,sensorial
3547.1000000000004,3,sensorial
3547.1000000000004,4,sensorial
3547.1000000000004,12,pfc
3547.1000000000004,13,pfc
3547.1000000000004,14,pfc
3553.4,1,sensorial
3565.1,5,oculta
3567.2000000000003,6,oculta
3567.2000000000003,7,oculta
3567.5000000000005,0,sensorial
3567.5000000000005,2,sensorial
3567.5000000000005,3,sensorial
3567.5000000000005,4,sensorial
3567.5000000000005,12,pfc
3567.5000000000005,13,pfc
3567.5000000000005,14,pfc
3573.8,1,sensorial
3584.6,5,oculta
3587.5000000000005,6,oculta
3587.5000000000005,7,oculta
3587.9,0,sensorial
3587.9,2,sensorial
3587.9,3,sensorial
3587.9,4,sensorial
3587.9,12,pfc
3587.9,13,pfc
3587.9,14,pfc
3594.2000000000003,1,sensorial
3604.0,5,oculta
3607.8,6,oculta
3607.8,7,oculta
3608.3,0,sensorial
3608.3,2,sensorial
3608.3,3,sensorial
3608.3,4,sensorial
3608.3,12,pfc
3608.3,13,pfc
3608.3,14,pfc
3614.6000000000004,1,sensorial
3623.2000000000003,5,oculta
3628.1000000000004,6,oculta
3628.1000000000004,7,oculta
3628.5,3,sensorial
3628.7000000000003,0,sensorial
3628.7000000000003,2,sensorial
3628.7000000000003,4,sensorial
3628.7000000000003,12,pfc
3628.7000000000003,13,pfc
3628.7000000000003,14,pfc
3635.0,1,sensorial
3642.2000000000003,5,oculta
3648.4,6,oculta
3648.4,7,oculta
3648.5,3,sensorial
3649.1000000000004,0,sensorial
3649.1000000000004,2,sensorial
3649.1000000000004,4,sensorial
3649.1000000000004,12,pfc
3649.1000000000004,13,pfc
3649.1000000000004,14,pfc
3655.4,1,sensorial
3660.9,5,oculta
3668.4,3,sensorial
3668.7000000000003,6,oculta
3668.7000000000003,7,oculta
3669.5,0,sensorial
3669.5,2,sensorial
3669.5,4,sensorial
3669.5,12,pfc
3669.5,13,pfc
3669.5,14,pfc
3675.8,1,sensorial
3680.5000000000005,5,oculta
3688.3,3,sensorial
3689.0,6,oculta
3689.0,7,oculta
3689.9,0,sensorial
3689.9,2,sensorial
3689.9,4,sensorial
3689.9,12,pfc
3689.9,13,pfc
3689.9,14,pfc
3696.2000000000003,1,sensorial
3700.3,5,oculta
3708.1000000000004,3,sensorial
3709.3,6,oculta
3709.3,7,oculta
3710.3,0,sensorial
3710.3,2,sensorial
3710.3,4,sensorial
3710.3,12,pfc
3710.3,13,pfc
3710.3,14,pfc
3716.6,1,sensorial
3719.5,5,oculta
3727.8,3,sensorial
3729.6,6,oculta
3729.6,7,oculta
3730.7000000000003,0,sensorial
3730.7000000000003,2,sensorial
3730.7000000000003,4,sensorial
3730.7000000000003,12,pfc
3730.7000000000003,13,pfc
3730.7000000000003,14,pfc
3737.0,1,sensorial
3738.5,5,oculta
3747.5,3,sensorial
3749.9,6,oculta
3749.9,7,oculta
3751.1,0,sensorial
3751.1,2,sensorial
3751.1,4,sensorial
3751.1,12,pfc
3751.1,13,pfc
3751.1,14,pfc
3757.1000000000004,5,oculta
