time,neuron_id,capa
3506.2999999999997,0,sensorial
3506.2999999999997,1,sensorial
3506.2999999999997,2,sensorial
3506.2999999999997,3,sensorial
3506.2999999999997,4,sensorial
3506.2999999999997,5,oculta
3506.2999999999997,6,oculta
3506.2999999999997,7,oculta
3506.2999999999997,12,pfc
3506.2999999999997,13,pfc
3506.2999999999997,14,pfc
3525.9,0,sensorial
3525.9,3,sensorial
3525.9,12,pfc
3526.0,2,sensorial
3526.0,5,oculta
3526.0,13,pfc
3526.1,1,sensorial
3526.1,4,sensorial
3526.1,6,oculta
3526.2000000000003,14,pfc
3526.2999999999997,7,oculta
3545.7,0,sensorial
3545.7,3,sensorial
3545.7,12,pfc
3545.9,2,sensorial
3545.9,5,oculta
3545.9,13,pfc
3546.0,1,sensorial
3546.0,4,sensorial
3546.0,6,oculta
3546.2000000000003,14,pfc
3546.4,7,oculta
3565.6000000000004,0,sensorial
3565.6000000000004,3,sensorial
3565.7,12,pfc
3565.9,2,sensorial
3565.9,5,oculta
3565.9,13,pfc
3566.0,1,sensorial
3566.0,4,sensorial
3566.0,6,oculta
3566.2000000000003,14,pfc
3566.4,7,oculta
3585.5,0,sensorial
3585.5,3,sensorial
3585.7,12,pfc
3585.9,2,sensorial
3585.9,5,oculta
3585.9,13,pfc
3586.0,1,sensorial
3586.0,4,sensorial
3586.0,6,oculta
3586.2000000000003,14,pfc
3586.4,7,oculta
3605.4,0,sensorial
3605.4,3,sensorial
3605.7000000000003,12,pfc
3605.9,1,sensorial
3605.9,2,sensorial
3605.9,5,oculta
3605.9,13,pfc
3606.0000000000005,4,sensorial
3606.0000000000005,6,oculta
3606.2000000000003,14,pfc
3606.4,7,oculta
3625.3,0,sensorial
3625.3,3,sensorial
3625.7000000000003,12,pfc
3625.8,1,sensorial
3625.8,13,pfc
3625.9,2,sensorial
3625.9,5,oculta
3626.0000000000005,4,sensorial
3626.0000000000005,6,oculta
3626.2000000000003,14,pfc
3626.4,7,oculta
3645.2,0,sensorial
3645.2,3,sensorial
3645.7000000000003,1,sensorial
3645.7000000000003,12,pfc
3645.7000000000003,13,pfc
3645.9,2,sensorial
3645.9,5,oculta
3646.0000000000005,4,sensorial
3646.0000000000005,6,oculta
3646.2000000000003,14,pfc
3646.4,7,oculta
3665.1000000000004,0,sensorial
3665.1000000000004,3,sensorial
3665.6,1,sensorial
3665.6,13,pfc
3665.7000000000003,12,pfc
3665.9,2,sensorial
3665.9,5,oculta
3666.0000000000005,4,sensorial
3666.0000000000005,6,oculta
3666.2000000000003,14,pfc
3666.4,7,oculta
3685.0,0,sensorial
3685.0,3,sensorial
3685.5,1,sensorial
3685.5,13,pfc
3685.7000000000003,12,pfc
3685.9,2,sensorial
3685.9,5,oculta
3686.0000000000005,4,sensorial
3686.0000000000005,6,oculta
3686.2000000000003,14,pfc
3686.4,7,oculta
3704.9,0,sensorial
3704.9,3,sensorial
3705.4,1,sensorial
3705.4,13,pfc
3705.7000000000003,12,pfc
3705.9,2,sensorial
3705.9,5,oculta
3706.0,4,sensorial
3706.0,6,oculta
3706.2000000000003,14,pfc
3706.4,7,oculta
3724.8,0,sensorial
3724.8,3,sensorial
3725.3,1,sensorial
3725.3,13,pfc
3725.7000000000003,12,pfc
3725.9,2,sensorial
3725.9,5,oculta
3726.0,4,sensorial
3726.0,6,oculta
3726.2,14,pfc
3726.4,7,oculta
3744.7000000000003,0,sensorial
3744.7000000000003,3,sensorial
3745.2,1,sensorial
3745.2,13,pfc
3745.7000000000003,12,pfc
3745.9,2,sensorial
3745.9,5,oculta
3746.0,4,sensorial
3746.0,6,oculta
3746.2,14,pfc
3746.4000000000005,7,oculta
3764.6,0,sensorial
3764.6,3,sensorial
3765.1000000000004,1,sensorial
3765.1000000000004,13,pfc
3765.7000000000003,12,pfc
3765.9,2,sensorial
3765.9,5,oculta
3766.0,4,sensorial
3766.0,6,oculta
3766.2,14,pfc
3766.4,7,oculta
3784.5,0,sensorial
3784.5,3,sensorial
3785.0,1,sensorial
3785.0,13,pfc
3785.7000000000003,12,pfc
3785.9,2,sensorial
3785.9,5,oculta
3786.0,4,sensorial
3786.0,6,oculta
3786.2,14,pfc
3786.4,7,oculta
3804.4,0,sensorial
3804.4,3,sensorial
3804.9,1,sensorial
3804.9,13,pfc
3805.7000000000003,12,pfc
3805.9,2,sensorial
3805.9,5,oculta
3806.0,4,sensorial
3806.0,6,oculta
3806.2,14,pfc
3806.4,7,oculta
3824.2999999999997,0,sensorial
3824.2999999999997,3,sensorial
3824.8,1,sensorial
3824.8,13,pfc
3825.7000000000003,12,pfc
3825.9,2,sensorial
3825.9,5,oculta
3826.0,4,sensorial
3826.0,6,oculta
3826.2,14,pfc
3826.4,7,oculta
3844.2000000000003,0,sensorial
3844.2000000000003,3,sensorial
3844.7,1,sensorial
3844.7,13,pfc
3845.7000000000003,12,pfc
3845.9,2,sensorial
3845.9,5,oculta
3846.0,4,sensorial
3846.0,6,oculta
3846.2,14,pfc
3846.4,7,oculta
3864.1,0,sensorial
3864.1,3,sensorial
3864.6000000000004,1,sensorial
3864.6000000000004,13,pfc
3865.7000000000003,12,pfc
3865.9,2,sensorial
3865.9,5,oculta
3866.0,4,sensorial
3866.0,6,oculta
3866.2,14,pfc
3866.4,7,oculta
3883.9,0,sensorial
3883.9,3,sensorial
3884.5,1,sensorial
3884.5,13,pfc
3885.7000000000003,12,pfc
3885.9,2,sensorial
3885.9,5,oculta
3886.0,4,sensorial
3886.0,6,oculta
3886.1000000000004,14,pfc
3886.4,7,oculta
3903.7000000000003,0,sensorial
3903.7000000000003,3,sensorial
3904.4,1,sensorial
3904.4,13,pfc
3905.7000000000003,12,pfc
3905.9,2,sensorial
3905.9,5,oculta
3905.9,14,pfc
3906.0,4,sensorial
3906.0,6,oculta
3906.4,7,oculta
3923.5,0,sensorial
3923.5,3,sensorial
3924.3,1,sensorial
3924.3,13,pfc
3925.7,12,pfc
3925.7,14,pfc
3925.9,2,sensorial
3925.9,5,oculta
3926.0,4,sensorial
3926.0,6,oculta
3926.4,7,oculta
3943.3,0,sensorial
3943.3,3,sensorial
3944.2000000000003,1,sensorial
3944.2000000000003,13,pfc
3945.5,14,pfc
3945.7,12,pfc
3945.9000000000005,2,sensorial
3945.9000000000005,5,oculta
3946.0,4,sensorial
3946.0,6,oculta
3946.2000000000003,7,oculta
3963.1000000000004,0,sensorial
